IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.45.223,4,4,0.00,2.75,0.00
104.21.13.252,4,4,0.00,2.75,0.00
172.65.66.253,4,4,0.00,2.76,0.00
104.24.20.179,4,4,0.00,2.76,0.00
172.67.77.49,4,4,0.00,2.76,0.00
172.67.234.123,4,4,0.00,2.76,0.00
172.65.70.24,4,4,0.00,2.76,0.00
104.21.80.191,4,4,0.00,2.77,0.00
104.21.96.102,4,4,0.00,2.77,0.00
104.24.7.113,4,4,0.00,2.78,0.00
172.65.55.99,4,4,0.00,2.78,0.00
172.65.127.10,4,4,0.00,2.79,0.00
172.65.17.134,4,4,0.00,2.80,0.00
172.65.153.157,4,4,0.00,2.80,0.00
104.21.227.209,4,4,0.00,2.80,0.00
172.65.101.11,4,4,0.00,2.80,0.00
104.21.239.177,4,4,0.00,2.80,0.00
104.21.26.44,4,4,0.00,2.80,0.00
172.66.145.202,4,4,0.00,2.81,0.00
172.64.96.123,4,4,0.00,2.81,0.00
104.24.61.41,4,4,0.00,2.81,0.00
104.21.234.139,4,4,0.00,2.81,0.00
172.65.2.25,4,4,0.00,2.82,0.00
104.21.225.111,4,4,0.00,2.82,0.00
172.66.155.46,4,4,0.00,2.82,0.00
104.24.133.143,4,4,0.00,2.84,0.00
172.66.170.253,4,4,0.00,2.84,0.00
104.21.25.21,4,4,0.00,2.84,0.00
104.21.103.203,4,4,0.00,2.84,0.00
104.24.154.102,4,4,0.00,2.84,0.00
172.66.150.40,4,4,0.00,2.84,0.00
172.64.85.58,4,4,0.00,2.85,0.00
172.64.235.221,4,4,0.00,2.85,0.00
104.24.141.178,4,4,0.00,2.85,0.00
104.24.143.245,4,4,0.00,2.85,0.00
172.67.200.80,4,4,0.00,2.86,0.00
104.21.224.205,4,4,0.00,2.86,0.00
172.65.5.56,4,4,0.00,2.86,0.00
172.67.81.90,4,4,0.00,2.87,0.00
172.64.88.38,4,4,0.00,2.87,0.00
104.21.65.139,4,4,0.00,2.87,0.00
172.64.50.4,4,4,0.00,2.88,0.00
172.64.93.165,4,4,0.00,2.89,0.00
172.64.66.85,4,4,0.00,2.89,0.00
172.64.83.110,4,4,0.00,2.89,0.00
104.21.74.15,4,4,0.00,2.90,0.00
172.64.92.214,4,4,0.00,2.90,0.00
172.65.249.167,4,4,0.00,2.90,0.00
104.21.124.211,4,4,0.00,2.90,0.00
